name,price,rus_brand,premium,rating,no_sugar,kcal,package,type,cocoa,filling_NUTS,filling_BERRIES,filling_SNACKS,filling_DESSERT,filling_EXOTIC,emulsifiers
Шоколад белый Миндаль и кокос Alpen Gold 80г,74.99,1,0,4.8,0,545.0,флоупак,Белый,22.0,1,0,0,0,1,1
Шоколад белый пористый Россия щедрая душа 75г,74.99,1,0,4.8,0,545.0,флоупак,Белый,25.0,0,0,0,0,0,1
Шоколад Классический Чизкейк Alpen Gold 85/90г,74.99,1,0,4.8,0,533.0,флоупак,Молочный,25.0,0,0,0,1,0,1
Шоколад молочный Россия щедрая душа 82г,79.99,1,0,4.8,0,539.0,флоупак,Молочный,27.0,0,0,0,0,0,1
Шоколад белый Gold Selection Дуэт в клубнике Россия щедрая душа 85г,88.99,1,0,4.8,0,543.0,флоупак,Белый,20.0,0,1,0,0,0,1
Шоколад молочный Клубника и йогурт Alpen Gold 80г,69.99,1,0,4.8,0,550.0,флоупак,Молочный,27.0,0,0,0,1,0,1
Шоколад Молочный с фундуком Milka 80г,99.99,0,0,4.8,0,540.0,флоупак,Молочный,25.0,1,0,0,0,0,0
Шоколад молочный Соленый миндаль и карамель Alpen Gold 80г,74.99,1,0,4.8,0,520.0,флоупак,Молочный,25.0,1,0,0,1,0,1
Шоколад молочный Alpen Gold 80г,69.99,1,0,4.8,0,522.0,флоупак,Молочный,25.0,0,0,0,0,0,1
Шоколад молочный Тропический кокос Alpen Gold 80г,74.99,1,0,4.8,0,515.0,флоупак,Молочный,25.0,0,0,0,0,1,1
Шоколад молочный пористый Россия щедрая душа 75г,79.99,1,0,4.8,0,539.0,флоупак,Молочный,30.0,0,0,0,0,0,1
Шоколад Молочный Caramel Milka 90г,99.99,0,0,4.9,0,490.0,флоупак,Молочный,25.0,0,0,0,1,0,1
Шоколад Dark темный фундук Alpen Gold 75г,125.99,1,0,4.7,0,527.0,флоупак,Темный,40.0,1,0,0,0,0,1
Шоколад молочный Фундук Alpen Gold 80г,74.99,1,0,4.8,0,532.0,флоупак,Молочный,25.0,1,0,0,0,0,1
Шоколад Элитный Бабаевский 75% какао 75г,149.99,1,0,4.8,0,520.0,бумажная упаковка,Горький,75.0,0,0,0,0,0,1
Шоколад Gold Selection молочный фундук Россия щедрая душа 85г,99.99,1,0,4.7,0,557.0,флоупак,Молочный,25.0,1,0,0,0,0,0
Шоколад молочный Арахис и кукурузные хлопья Alpen Gold 80г,74.99,1,0,4.8,0,518.0,флоупак,Молочный,25.0,1,0,1,0,0,0
Шоколад молочный с лесным орехом Степ 90г,45.99,1,0,4.7,0,497.0,флоупак,Молочный,35.0,1,0,0,0,0,1
Шоколад Молочный Клубника со сливками Milka 80г,99.99,0,0,4.8,0,529.0,флоупак,Молочный,25.0,0,1,0,1,0,1
Шоколад молочный с кокосом и вафлей Россия щедрая душа 82г,79.99,1,0,4.8,0,551.0,флоупак,Молочный,26.0,0,0,1,0,1,1
Шоколад молочный с начинкой Степ 90г,45.99,1,0,4.8,0,491.0,флоупак,Молочный,35.0,1,0,1,0,0,1
Шоколад Темный Особый 40% 85г,129.99,1,0,4.9,0,500.0,бумажная упаковка,Темный,53.0,0,0,0,0,0,0
Шоколад темный 41% Российский 75/82г,74.99,1,0,4.7,0,521.0,флоупак,Темный,41.0,0,0,0,0,0,0
Шоколад горький 70% Российский 82г,74.99,1,0,4.8,0,569.0,флоупак,Горький,70.0,0,0,0,0,0,0
Шоколад White Chocolate белый Schogetten 100г,134.99,0,0,4.9,0,555.0,картонная упаковка,Белый,0.0,0,0,0,0,0,0
Шоколад Молочный Миндаль и лесные ягоды Milka 80г,99.99,0,0,4.8,0,525.0,флоупак,Молочный,27.0,1,1,0,0,0,1
Шоколад Молочный Caramel Brownie Schogetten 100г,84.99,0,0,4.8,0,564.0,картонная упаковка,Молочный,30.0,0,0,0,1,0,0
Шоколад молочный Фундук и изюм Alpen Gold 80г,74.99,1,0,4.8,0,493.0,флоупак,Молочный,25.0,1,1,0,0,0,1
Шоколад Темный Люкс Бабаевский 75г,149.99,1,0,4.8,0,549.0,бумажная упаковка,Темный,54.0,0,0,0,0,0,1
Шоколад молочный Кофе с молоком Россия щедрая душа 82г,79.99,1,0,4.8,0,517.0,флоупак,Молочный,34.0,0,0,0,1,0,1
Шоколад Babyfox 90г,119.99,1,0,4.9,0,560.0,картонная упаковка,Молочный,27.0,0,0,1,0,0,1
Шоколад молочный шоколадная начинка с кусочками Oreo Alpen Gold 85г,74.99,1,0,4.8,0,531.0,флоупак,Молочный,25.0,0,0,1,0,0,1
