Название,Ссылка,Артикул,Текущая цена,Старая цена,Скидка,Бренд,Производитель,Вкусовая добавка,Рейтинг,Количество оценок,Количество отзывов,Ккал,Белки,Жиры,Углеводы,Тип,Вес (кг),Упаковка,Тип шоколада,Какао (%),Состав,Глазировка,Начинка,Вид конфет,Вид сахарозаменителя,Добавка,Тип глазировки,Объем л,Содержание сахара
Шоколад белый Миндаль и кокос Alpen Gold 80г,https://magnit.ru/product/1000060406-shokolad_alpen_gold_belyy_s_mindalem_i_kokosovoy_struzhkoy_85g?shopCode=992301&shopType=6,1000060406,74.99,139.99,-46%,Alpen Gold,Мондэлис Русь,Орехи,4.8,5877.0,270.0,545.0,5.9,31.0,59.0,Шоколадная плитка,0.08,флоупак,Белый,22.0,"Сахар, масло какао, сыворотка сухая молочная, молоко сухое цельное, миндаль обжаренный дробленый, стружка кокосовая, жир молочный, эмульгаторы (лецитин соевый, Е476), ароматизатор",,,,,,,,
Шоколад белый пористый Россия щедрая душа 75г,https://magnit.ru/product/1000517768-rossiya_shchedraya_dusha_shokolad_belyy_poristyy_75g?shopCode=992301&shopType=6,1000517768,74.99,119.99,-37%,Россия Щедрая Душа,Нестле,Без добавок,4.8,381.0,23.0,545.0,4.9,31.0,62.0,Шоколадная плитка,0.075,флоупак,Белый,25.0,"Сахар, масло какао, молоко сухое цельное, сыворотка молочная сухая, эмульгаторы (лецитины, Е476), ароматизатор натуральный. В белой шоколадной массе: сухой общий остаток какао - не менее 20%",,,,,,,,
Батончик  шоколадный с карамелью арахисом и нугой Snickers Super 80г,https://magnit.ru/product/1000378229-snickers_shokoladnyy_batonchik_10227820_80g_floupak_rossiya_mars_32_128?shopCode=992301&shopType=6,1000378229,89.99,,,Snickers,Марс,,4.8,12683.0,439.0,499.0,8.0,25.4,58.8,Батончик шоколадный,0.08,флоупак,Молочный,,"Молочный шоколад (сахар, какао масло, какао тертое, сухое цельное молоко (W) или сухое обезжиренное молоко (R), лактоза, молочный жир, эмульгатор (соевый лецитин), ароматизатор (ванилин)), глюкозный сироп (кукурузный, пшеничный), арахис, сахар, масло пальмовое рафинированное дезодорированное, сухое обезжиренное молоко, соль, сухой яичный белок, ароматизатор (ванилин). Содержит глютен может содержать незначительное количество фундука, миндаля",Молочный шоколад,,,,,,,
Шоколад Классический Чизкейк Alpen Gold 85/90г,https://magnit.ru/product/1000286766-shokolad_alpen_gold_oreo_molochnyy_s_chizkeykom_i_pechenem_95g?shopCode=992301&shopType=6,1000286766,74.99,129.99,-42%,Alpen Gold,Мондэлис Русь,Печенье,4.8,3833.0,145.0,533.0,4.3,31.0,58.0,Шоколадная плитка,0.085,флоупак,Молочный,25.0,"Сахар, жир растительный (масло пальмовое), печенье дробленое «Орео» (мука пшеничная, сахар, масло пальмовое, какао-порошок, сироп глюкозно-фруктозный, крахмал кукурузный, разрыхлители (гидрокарбонат натрия, гидрокарбонат аммония), соль, эмульгатор (лецитин соевый), ароматизатор, регулятор кислотности (Е524)), сыворотка сухая молочная, какао тертое, масло какао, молоко сухое цельное, жир молочный, молоко сухое обезжиренное, эмульгаторы (лецитин соевый Е476), ароматизаторы («Ванилин», «Классический чизкейк»)",,,,,,,,
Шоколад молочный Россия щедрая душа 82г,https://magnit.ru/product/1000178484-shokolad_rossiya_molochnyy_90g?shopCode=992301&shopType=6,1000178484,79.99,119.99,-33%,Россия Щедрая Душа,Нестле,Без добавок,4.8,5156.0,216.0,539.0,6.5,30.0,59.0,Шоколадная плитка,0.082,флоупак,Молочный,27.0,"Сахар, масло какао, молоко сухое цельное, какао тертое, сыворотка молочная сухая, молочный жир, эмульгаторы (лецитины, Е476), ароматизатор натуральный, в шоколадной массе: сухой общий остаток какао - не менее 25%, сухой обезжиренный остаток какао - не менее 2.5%, сухой молочный остаток - не менее 12%, молочный жир - не менее 2.5%",,,,,,,,
Шоколад белый Gold Selection Дуэт в клубнике Россия щедрая душа 85г,https://magnit.ru/product/1000253064-shokolad_zolotaya_marka_belyy_duet_v_klubnichnom_85g?shopCode=992301&shopType=6,1000253064,88.99,179.99,-50%,Россия Щедрая Душа,Нестле,Прочее,4.8,2724.0,147.0,543.0,4.9,30.0,62.0,Шоколадная плитка,0.085,флоупак,Белый,20.0,"Сахар, масло какао, молоко сухое цельное, сыворотка молочная сухая, какао тертое, эмульгаторы (лецитины, Е476), свекольный концентрат, мука пшеничная (содержит глютен), мука рисовая, ароматизаторы натуральные, клубника сушеная, какао-порошок с пониженным содержанием жира, молочный жир, крахмал тапиоковый, лактоза, глазирователь (Е904), молоко сухое обезжиренное, соль, стабилизатор (карбонат кальция), глюкозный сироп. В белой шоколадной массе: сухой общий остаток какао - не менее 20%",,,,,,,,
Шоколад молочный Клубника и йогурт Alpen Gold 80г,https://magnit.ru/product/1647000018-shokolad_alpen_gold_molochnyy_s_klubnikoy_i_yogurtom_85g?shopCode=992301&shopType=6,1647000018,69.99,129.99,-46%,Alpen Gold,Мондэлис Русь,Прочее,4.8,5939.0,186.0,550.0,3.9,33.0,59.0,Шоколадная плитка,0.08,флоупак,Молочный,27.0,"Шоколад молочный (сахар, какао тертое, масло какао, молоко сухое цельное, сыворотка сухая молочная, жир молочный, эмульгаторы (лецитин соевый, Е476), ароматизатор), начинка (сахар, жир растительный, молоко сухое цельное, сыворотка сухая молочная, порошок клубничный, сухой йогурт, какао тертое, масло какао, эмульгаторы (лецитин соевый, Е476), регулятор кислотности (кислота лимонная), ароматизатор, жир молочный). Содержит молочные продукты, лецитин соевый. Может содержать следы арахиса, других орехов и пшеницы. Противопоказано при индивидуальной непереносимости к белку молока",,,,,,,,
Шоколад Молочный с фундуком Milka 80г,https://magnit.ru/product/1000149243-shokolad_milka_molochnyy_s_fundukom_90g?shopCode=992301&shopType=6,1000149243,99.99,199.99,-50%,Milka,Мондэлис Русь,Орехи,4.8,4643.0,203.0,540.0,6.4,33.0,54.5,Шоколадная плитка,0.08,флоупак,Молочный,25.0,"Сахар, масло какао, какао тертое, фундук обжаренный дробленый, молоко сухое цельное, сыворотка сухая молочная, молоко сухое обезжиренное, жир молочный, эмульгаторы (лецитин соевый, E476), паста ореховая (фундук), ароматизатор содержит фундук, молочные продукты, лецитин соевый может содержать следы арахиса, других орехов и пшеницы в шоколадной массе содержание общего сухого остатка какао – не менее 25 %, сухого обезжиренного остатка какао – не менее 2, 5 %, сухого обезжиренного остатка молока – не менее 12 %, молочного жира – не менее 2, 5 %",,,,,,,,
Шоколад молочный Соленый миндаль и карамель Alpen Gold 80г,https://magnit.ru/product/1000115569-alpen_gold_shokol_moloch_s_sol_mind_karam_85g_mondelis_21?shopCode=992301&shopType=6,1000115569,74.99,139.99,-46%,Alpen Gold,Мондэлис Русь,,4.8,1632.0,64.0,520.0,6.8,29.5,57.0,Шоколадная плитка,0.08,флоупак,Молочный,25.0,"Сахар, какао тертое, масло какао, сухое цельное молоко, сухая молочная сыворотка, миндаль обжаренный дробленый, молочный жир, эмульгаторы (лецитин соевый, Е476), ароматизатор ванилин идентичный натуральному. Содержит цельный миндаль, карамель, молочные продукты, лецитин соевый. Может содержать следы арахиса, других орехов и пшеницы",,,,,,,,
Батончик шоколадный с карамелью Twix Xtra 82г,https://magnit.ru/product/1635300020-shokoladnyy_batonchik_twix_ekstra_82g?shopCode=992301&shopType=6,1635300020,89.99,,,Twix,Марс,,4.8,5482.0,168.0,497.0,3.9,24.0,65.4,Батончик шоколадный,0.082,флоупак,Молочный,,"Молочный шоколад (общий сухой остаток какао – не менее 25%, сухой обезжиренный остаток какао – не менее 4%, сухой молочный остаток – не менее 20%, молочный жир – не менее 3.5%): сахар, какао-масло, какао тертое, лактоза, сухое цельное молоко, сухая молочная сыворотка, молочный жир, эмульгатор (соевый лецитин), ароматизатор «Ванилин»; карамель: глюкозный сироп (кукурузный, пшеничный), сахар, масло пальмовое рафинированное дезодорированное, сухое обезжиренное молоко, соль, ароматизатор «Ванилин»; печенье: пшеничная мука, жир специального назначения (пальмовое масло), сахар, какао-порошок, соль, разрыхлитель (гидрокарбонат натрия), ароматизатор «Ванилин». Содержит глютен, может содержать незначительное количество яичного белка, арахиса",Молочный шоколад,Карамель,,,,,,
